party_name,source_url,evidence_rows,support_rows,unclear_rows
PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,44,0,44
BNG,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf,36,0,36
VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,33,3,30
"FORO Asturias",https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,48,24,24
SUMAR,https://movimientosumar.es/programa,33,9,24
Ciudadanos,https://www.ciudadanos-cs.org/programa-electoral,36,18,18
PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,12,1,11
Compromis,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,32,24,8
CUP,https://cup.cat/programa,15,9,6
EQUO,https://verdesequo.es/programa,3,0,3
